dust,NO2,CO2,SO2,AQI
49.19,26.89,0.77,25.9,126
40.38,24.31,0.7,30.4,131
44.65,19.79,0.63,19.26,124
35.5,19.29,0.59,17.83,106
34.12,19.98,0.7,24.2,109
41.62,20.32,0.53,21.47,92
43.1,21.71,0.67,24.72,88
35.3,17.33,0.47,17.09,95
40.35,18.93,0.53,23.95,93
32.33,19.42,0.61,21.27,104
24.95,20.68,0.49,16.73,80
30.42,16.96,0.72,13.67,99
36.5,17.83,0.63,14.71,99
40.04,17.31,0.89,18.61,108
40.51,16.93,0.51,14.62,99
38.88,18,0.47,13.86,106
36.31,18.03,0.52,17.79,85
38.7,16.29,0.48,15.76,83
33.52,26.44,0.57,19.96,83
36.8,17.39,0.51,14.55,74
41.89,22.98,0.77,17.7,103
41.47,18.25,0.5,16.21,101
31.52,20.17,0.45,18.1,80
39.73,27.54,0.95,17.17,107
36.24,19.93,0.46,21.35,91
24.16,26.79,0.53,26.62,78
23.12,24.2,0.52,23.46,65
31.95,26.2,0.58,17.18,71
26.02,20.95,0.52,15.99,90
22.19,25.07,0.5,18.35,78
13.91,24.16,0.37,14.02,61
11.81,29.99,0.34,13.82,50
10.02,33.11,0.49,17.28,42
9.55,24.02,0.36,16.48,38
17.42,18.88,0.38,14.79,54
19.25,18.26,0.31,9.68,75
23.99,28.19,0.49,14.94,72
23.62,36.52,0.46,13.66,59
21.28,27.95,0.44,18.83,77
14.03,25.45,0.45,18.94,59
17.9,29.14,0.57,16.39,42
17.07,25.75,0.5,16.01,46
13.45,24.16,0.46,14.9,48
15.93,20.53,0.43,16.53,53
19.8,30.66,0.76,14.36,78
21.45,36.24,0.73,17.88,74
12.45,26.62,0.53,17.43,70
9.57,22,0.36,19.5,42
11.55,22.16,0.35,17,46
13.4,29.37,0.42,16.27,39
12.05,29.88,0.59,13.78,66
14.54,30.62,0.61,12.6,68
8.4,30.36,0.57,14.32,68
10.31,25.22,0.62,16.24,70
13.91,18,0.58,18.86,72
15.17,18.2,0.39,23.12,43
13.1,22.88,0.33,17.88,35
11.3,23.47,0.28,17.09,37
13.03,25.64,0.51,20.09,75
11.17,26.2,0.34,23.89,40
11.65,22.68,0.56,22.58,70
17.22,4.58,0.42,14.79,48
12.68,3.7,0.4,15.89,41
10.73,9.95,0.36,16.35,48
14.44,17.05,0.47,15.46,39
21.86,19.35,0.45,19.19,55
16.18,16.01,0.43,12.93,53
22.28,13.16,0.54,20.51,46
11.14,5.65,0.44,13.82,47
14.72,4.64,0.49,9.71,45
12.89,9.64,0.5,15.68,39
13.53,12.71,0.42,15.77,35
7.48,10.04,0.38,12.51,35
12.52,3.94,0.55,14.14,65
13.25,2.08,0.33,12.58,36
10.89,11.39,0.56,21.15,68
8,10.03,0.31,14.72,28
10.62,4.4,0.38,11.66,29
8.71,4.43,0.39,13.83,34
6.85,1.52,0.46,13.29,68
9.31,3.35,0.32,11.83,24
7.53,6.1,0.34,26.08,31
6.89,6.48,0.34,13.35,32
7.35,6.38,0.46,11.57,66
7.45,7.66,0.27,11.94,27
10.88,10.11,0.41,11.86,32
13.49,7.57,0.5,19.01,70
16.6,6.74,0.6,15.64,76
24.56,9.16,0.58,18.9,51
15.75,9.34,0.4,28.32,49
17.54,9.58,0.42,20.69,40
15.8,12.43,0.62,11.3,92
14.98,13.97,0.47,14.17,47
